time,mx,my,mz,mvx,mvy,mvz,tx,ty,tz,tvx,tvy,tvz
0.0,13000.0,12000.0,0.0,-484.7170487004836,-450.0274339965805,450.0274339965805,0.0,0.0,12000.0,750.0,0.0,0.0
0.1,12951.528295129952,11954.997256600342,45.00274339965805,-484.7170487004836,-450.0274339965805,450.0274339965805,75.0,0.0,12000.0,750.0,0.0,0.0
0.2,12903.235845450523,11909.898258252486,90.10174174751359,-482.92449679429666,-450.9899834785554,450.9899834785554,150.0,0.0,12000.0,750.0,0.0,0.0
0.30000000000000004,12855.124488057922,11864.70258760893,135.29741239106883,-481.1135739260071,-451.95670643555246,451.95670643555246,225.00000000000003,0.0,12000.0,750.0000000000002,0.0,0.0
0.4,12807.196085545951,11819.409827521635,180.59017247836414,-479.28402511970074,-452.92760087295295,452.927600872953,300.0,0.0,12000.0,749.9999999999997,0.0,0.0
0.5,12759.452526423658,11774.01956115132,225.9804388486777,-477.43559122293846,-453.90266370313543,453.90266370313554,375.0,0.0,12000.0,750.0,0.0,0.0
0.6000000000000001,12711.89572554008,11728.531372081412,271.4686279185871,-475.56800883578643,-454.8818906990941,454.8818906990942,450.00000000000006,0.0,12000.0,750.0000000000006,0.0,0.0
0.7000000000000001,12664.527624516188,11682.944844436775,317.05515556322354,-473.681010238916,-455.8652764463642,455.8652764463642,525.0,0.0,12000.0,749.9999999999994,0.0,0.0
0.8,12617.350192184109,11637.259563007456,362.7404369925427,-471.77432332078155,-456.8528142931915,456.85281429319156,600.0,0.0,12000.0,750.0,0.0,0.0
0.9,12570.365425033719,11591.475113377566,408.52488662243167,-469.84767150389456,-457.8444962988898,457.84449629888985,675.0,0.0,12000.0,750.0,0.0,0.0
1.0,12523.575347666698,11545.591082059535,454.4089179404635,-467.90077367020365,-458.8403131803181,458.8403131803182,750.0,0.0,12000.0,750.0,0.0,0.0
1.1,12476.982013258137,11499.607056633893,500.39294336610504,-465.93334408560054,-459.8402542564153,459.8402542564154,825.0000000000001,0.0,12000.0,750.0000000000011,0.0,0.0
1.2000000000000002,12430.58750402578,11453.52262589482,546.4773741051774,-463.9450923235723,-460.8443073907239,460.844307390724,900.0000000000001,0.0,12000.0,750.0,0.0,0.0
1.3,12384.393931706978,11407.337380001638,592.6626199983607,-461.93572318802063,-461.85245893183264,461.85245893183264,975.0,0.0,12000.0,749.9999999999989,0.0,0.0
1.4000000000000001,12338.40343804345,11361.050910636472,638.9490893635274,-459.9049366352756,-462.86469365166704,462.86469365166704,1050.0,0.0,12000.0,750.0,0.0,0.0
1.5,12292.618195273917,11314.662811168317,685.3371888316826,-457.85242769532914,-463.88099468155264,463.88099468155275,1125.0,0.0,12000.0,750.0,0.0,0.0
1.6,12247.040406634685,11268.172676823719,731.8273231762802,-455.7778863923234,-464.9013434459758,464.9013434459758,1200.0,0.0,12000.0,750.0,0.0,0.0
1.7000000000000002,12201.672306868253,11221.580104864322,778.4198951356764,-453.6809976643263,-465.9257195939614,465.9257195939615,1275.0000000000002,0.0,12000.0,750.0000000000023,0.0,0.0
1.8,12156.51616274001,11174.884694771523,825.1153052284752,-451.56144128243324,-466.9541009279881,466.95410092798824,1350.0,0.0,12000.0,749.9999999999977,0.0,0.0
1.9000000000000001,12111.574273563087,11128.086048438487,871.9139515615108,-449.418891769239,-467.98646333035583,467.98646333035595,1425.0,0.0,12000.0,750.0,0.0,0.0
2.0,12066.848971731415,11081.183770369795,918.8162296302028,-447.2530183167237,-469.02278068691936,469.0227806869195,1500.0,0.0,12000.0,750.0,0.0,0.0
2.1,12022.342623261055,11034.177467888985,965.8225321110128,-445.0634847036066,-470.06302480810086,470.0630248081009,1575.0,0.0,12000.0,750.0,0.0,0.0
2.2,11978.057628339833,10987.066751354276,1012.9332486457214,-442.8499492122212,-471.1071653470859,471.10716534708604,1650.0000000000002,0.0,12000.0,750.0000000000023,0.0,0.0
2.3000000000000003,11933.996421885337,10939.851234382764,1060.1487656172328,-440.6120645449731,-472.155169715114,472.1551697151142,1725.0000000000002,0.0,12000.0,750.0,0.0,0.0
2.4000000000000004,11890.161474111292,10892.530534083387,1107.4694659166091,-438.3494777404471,-473.2070029937622,473.20700299376244,1800.0000000000002,0.0,12000.0,750.0,0.0,0.0
2.5,11846.555291102368,10845.104271298975,1154.8957287010217,-436.0618300892331,-474.2626278441242,474.2626278441244,1875.0,0.0,12000.0,749.9999999999977,0.0,0.0
2.6,11803.180415397414,10797.572070857697,1202.4279291423,-433.74875704955065,-475.32200441278223,475.3220044127823,1950.0,0.0,12000.0,750.0,0.0,0.0
